sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
160330721765700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330721796600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330737300500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330737367000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330752836800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330752877700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330768271300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160330768311500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160330783907800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330784086200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330799058800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330799094200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330814376900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330814416700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330829662700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330829711300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330845356600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330845395800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330860691900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330860727700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330876377900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330876411500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330892031200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330892065600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330907437800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330907545000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330923609600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330923765300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330939176400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330939213400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330954732000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330954787800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330970449000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330970560500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160330986574000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160330986644200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331002662800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331002737300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331018056800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331018094500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331033519200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331033559300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331049634600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331049679100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331065093800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331065175400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331080612400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331080642800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331096342500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331096379300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331111893000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331111928600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331127190000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331127233200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331142973600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331143027500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331158476700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331158513600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331173641700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331173671500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331189380600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331189430200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331204776400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331204808300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331220485200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331220527000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331236074400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331236107300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331251164700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331251195600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331266528200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331266568100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331282291600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331282332800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331297821500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331297936200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331313040300,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331313119300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331328652000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331328717600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331344120800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331344245800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331359621000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331359739600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331375178000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331375230300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331390434800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331390469700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331405621300,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331405648800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331421249500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331421284400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331436573600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331436618300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331452605800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331452682900,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331468187500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331468260100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331483415400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331483451900,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331498622200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331498663800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331514334100,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331514460900,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331529840300,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331529901100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331545090200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331545133000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331561000400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331561045500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331576663400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331576708700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331591848000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331591887700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331607316500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331607346800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331622572300,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331622603000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331638189400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331638227300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331653278400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331653310400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331668849600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331668915000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331684150600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331684208900,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331699639200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331699677800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331715086700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331715160400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331730511600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331730552100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331745787500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331745838500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331761892400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331761937200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331777614000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331777685400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331792733800,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331792782400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331808035600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331808143400,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331823676500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331823764300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331839135600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331839223300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331854768000,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331854824500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331870017400,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331870070900,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331885665500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331885708200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331900851500,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331900882500,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331916546600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331916592100,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331931908600,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331931944300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331947891900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331947968700,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331963400700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331963436000,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331978571900,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331978638200,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160331994118100,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160331994210600,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160332009706700,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160332009743300,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160332025330200,2,1,1,200,1,0,0,0.1000000015,0,1,0,1,0,0,1,2
160332025370800,1,1,1,200,1,0,0,0.1000000015,0,1,0,2,0,0,1,2
160332040866400,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332040894000,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332056499500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332056553500,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332071962600,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332072001900,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332087840900,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332087870600,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332103828400,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332103875600,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332119047700,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332119079600,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332134474500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332134560300,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332150121500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332150173100,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332165357600,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332165393000,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332180714500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332180747900,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332196562900,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332196597300,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332211663500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332211758000,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332227214300,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332227254400,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332242559000,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332242591200,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332257954600,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332257982000,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332273445300,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332273475300,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332289359700,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332289418300,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332304964100,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332305002800,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332320427500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332320473000,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332335854400,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332335917600,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332351376300,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332351403300,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332367031100,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332367074100,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332382254500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332382303900,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332397724500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332397771100,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332413235000,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332413277100,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332428957000,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332428998500,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332444156500,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
160332444208500,1,1,1,200,1,0,0,-0.1000000015,0,1,0,2,0,0,1,2
160332459587400,2,1,1,200,1,0,0,-0.1000000015,0,1,0,1,0,0,1,2
