sampleNs,origin,connected,valid,result,m00,m01,m02,x,m10,m11,m12,y,m20,m21,m22,z
160238612982700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238613014400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238629083800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238629123400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238644446800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238644493500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238659966400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238660007100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238675506400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238675549900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238691006700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238691046000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238706605500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,0
160238706647300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,0
160238721901600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238721939800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238737297800,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238737424200,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238752915700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238752955800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238768336100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238768476100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238783921700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238783960600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238799245700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238799285000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238814304000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238814390500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238829964100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238830001000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238845571600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238845618400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238861181200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238861225400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238876491500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238876535100,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238891785200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238891837400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238907286600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238907465900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238922538400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238922569700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238938031100,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238938061600,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238953682400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238953727500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238969440000,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238969538900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160238984968200,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160238985012400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239000273600,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239000362900,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239016281700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239016419400,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239032367400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239032471700,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239047901400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239047928500,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239063239300,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239063283000,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239079077400,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239079128800,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239094528700,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
160239094578300,1,1,1,200,1,0,0,0,0,1,0,2,0,0,1,2
160239110198500,2,1,1,200,1,0,0,0,0,1,0,1,0,0,1,2
