state,16917652493038336455,1,2
state,16917652493038336455,1,3
state,16917652493038336455,1,4
state,16917652493038336455,1,6
state,16917652493038336455,1,7
state,16917652493038336455,1,9
state,16917652493038336455,1,10
state,16917652493038336455,1,11
state,16917652493038336455,1,13
state,16917652493038336455,1,14
state,16917652493038336455,1,16
state,16917652493038336455,1,17
state,16917652493038336455,1,18
state,16917652493038336455,1,20
state,16917652493038336455,1,21
state,16917652493038336455,1,23
state,16917652493038336455,1,24
state,16917652493038336455,1,25
state,16917652493038336455,1,27
state,16917652493038336455,1,28
state,16917652493038336455,1,29
state,16917652493038336455,1,31
state,16917652493038336455,1,32
state,16917652493038336455,1,34
state,16917652493038336455,1,35
state,16917652493038336455,1,36
state,16917652493038336455,1,38
state,16917652493038336455,1,39
state,16917652493038336455,1,41
state,16917652493038336455,1,42
state,16917652493038336455,1,43
state,16917652493038336455,1,45
state,16917652493038336455,1,46
state,16917652493038336455,1,47
state,16917652493038336455,1,49
state,16917652493038336455,1,50
state,16917652493038336455,1,52
state,16917652493038336455,1,53
state,16917652493038336455,1,54
state,16917652493038336455,1,56
state,16917652493038336455,1,57
state,16917652493038336455,1,59
state,16917652493038336455,1,60
state,16917652493038336455,1,61
state,16917652493038336455,1,63
state,16917652493038336455,1,64
state,16917652493038336455,1,66
state,16917652493038336455,1,67
state,16917652493038336455,1,68
state,16917652493038336455,1,70
state,16917652493038336455,1,71
state,16917652493038336455,1,73
state,16917652493038336455,1,74
state,16917652493038336455,1,75
state,16917652493038336455,1,77
state,16917652493038336455,1,78
state,16917652493038336455,1,80
state,16917652493038336455,1,81
state,16917652493038336455,1,82
state,16917652493038336455,1,84
state,16917652493038336455,1,85
state,16917652493038336455,1,86
state,16917652493038336455,1,88
state,16917652493038336455,1,89
state,16917652493038336455,1,91
state,16917652493038336455,1,92
state,16917652493038336455,1,93
state,16917652493038336455,1,95
state,16917652493038336455,1,96
state,16917652493038336455,1,98
state,16917652493038336455,1,99
state,16917652493038336455,1,100
state,16917652493038336455,1,102
state,16917652493038336455,1,103
state,16917652493038336455,1,105
state,16917652493038336455,1,106
state,16917652493038336455,1,107
state,16917652493038336455,1,109
state,16917652493038336455,1,110
state,16917652493038336455,1,112
state,16917652493038336455,1,113
state,16917652493038336455,1,114
state,16917652493038336455,1,116
state,16917652493038336455,1,117
state,16917652493038336455,1,119
state,16917652493038336455,1,120
state,16917652493038336455,1,121
state,16917652493038336455,1,123
state,16917652493038336455,1,124
state,16917652493038336455,1,126
state,16917652493038336455,1,127
state,16917652493038336455,1,128
state,16917652493038336455,1,130
state,16917652493038336455,1,131
state,16917652493038336455,1,133
state,16917652493038336455,1,134
state,16917652493038336455,1,135
state,16917652493038336455,1,137
state,16917652493038336455,1,138
state,16917652493038336455,1,140
state,16917652493038336455,1,141
state,16917652493038336455,1,142
state,16917652493038336455,1,144
state,16917652493038336455,1,145
state,16917652493038336455,1,147
state,16917652493038336455,1,148
state,16917652493038336455,1,149
state,16917652493038336455,1,151
state,16917652493038336455,1,152
state,16917652493038336455,1,153
state,16917652493038336455,1,155
state,16917652493038336455,1,156
state,16917652493038336455,1,158
state,16917652493038336455,1,159
state,16917652493038336455,1,161
state,16917652493038336455,1,162
state,16917652493038336455,1,163
state,16917652493038336455,1,165
state,16917652493038336455,1,166
state,16917652493038336455,1,167
state,16917652493038336455,1,169
state,16917652493038336455,1,170
state,16917652493038336455,1,172
state,16917652493038336455,1,173
state,16917652493038336455,1,174
state,16917652493038336455,1,176
state,16917652493038336455,1,177
state,16917652493038336455,1,179
state,16917652493038336455,1,180
stale,16917652493038336455,1,180
state,9684309394657652945,1,1
state,9684309394657652945,1,3
state,9684309394657652945,1,4
state,9684309394657652945,1,6
state,9684309394657652945,1,7
state,9684309394657652945,1,9
state,9684309394657652945,1,10
state,9684309394657652945,1,11
state,9684309394657652945,1,13
state,9684309394657652945,1,14
state,9684309394657652945,1,16
state,9684309394657652945,1,17
state,9684309394657652945,1,18
state,9684309394657652945,1,20
state,9684309394657652945,1,21
state,9684309394657652945,1,23
state,9684309394657652945,1,24
state,9684309394657652945,1,25
state,9684309394657652945,1,27
state,9684309394657652945,1,28
state,9684309394657652945,1,30
state,9684309394657652945,1,31
state,9684309394657652945,1,32
state,9684309394657652945,1,34
state,9684309394657652945,1,35
state,9684309394657652945,1,36
state,9684309394657652945,1,38
state,9684309394657652945,1,39
state,9684309394657652945,1,41
state,9684309394657652945,1,42
state,9684309394657652945,1,43
state,9684309394657652945,1,45
state,9684309394657652945,1,46
state,9684309394657652945,1,48
state,9684309394657652945,1,49
state,9684309394657652945,1,50
state,9684309394657652945,1,52
state,9684309394657652945,1,53
state,9684309394657652945,1,55
state,9684309394657652945,1,56
state,9684309394657652945,1,57
state,9684309394657652945,1,59
state,9684309394657652945,1,60
state,9684309394657652945,1,62
state,9684309394657652945,1,63
state,9684309394657652945,1,64
state,9684309394657652945,1,66
state,9684309394657652945,1,67
state,9684309394657652945,1,68
state,9684309394657652945,1,70
state,9684309394657652945,1,71
state,9684309394657652945,1,73
state,9684309394657652945,1,74
state,9684309394657652945,1,75
state,9684309394657652945,1,77
state,9684309394657652945,1,78
state,9684309394657652945,1,80
state,9684309394657652945,1,81
state,9684309394657652945,1,82
state,9684309394657652945,1,84
state,9684309394657652945,1,85
state,9684309394657652945,1,87
state,9684309394657652945,1,88
state,9684309394657652945,1,89
state,9684309394657652945,1,91
state,9684309394657652945,1,92
state,9684309394657652945,1,94
state,9684309394657652945,1,95
state,9684309394657652945,1,96
state,9684309394657652945,1,98
state,9684309394657652945,1,99
state,9684309394657652945,1,101
state,9684309394657652945,1,102
state,9684309394657652945,1,103
state,9684309394657652945,1,105
state,9684309394657652945,1,106
state,9684309394657652945,1,108
state,9684309394657652945,1,109
state,9684309394657652945,1,110
state,9684309394657652945,1,112
state,9684309394657652945,1,113
state,9684309394657652945,1,114
state,9684309394657652945,1,116
state,9684309394657652945,1,117
state,9684309394657652945,1,119
state,9684309394657652945,1,120
state,9684309394657652945,1,121
state,9684309394657652945,1,123
state,9684309394657652945,1,124
state,9684309394657652945,1,126
state,9684309394657652945,1,127
state,9684309394657652945,1,128
state,9684309394657652945,1,130
state,9684309394657652945,1,131
state,9684309394657652945,1,133
state,9684309394657652945,1,134
state,9684309394657652945,1,135
state,9684309394657652945,1,137
state,9684309394657652945,1,138
state,9684309394657652945,1,140
state,9684309394657652945,1,141
state,9684309394657652945,1,142
state,9684309394657652945,1,144
state,9684309394657652945,1,145
state,9684309394657652945,1,147
state,9684309394657652945,1,148
state,9684309394657652945,1,149
state,9684309394657652945,1,151
state,9684309394657652945,1,152
state,9684309394657652945,1,154
state,9684309394657652945,1,155
state,9684309394657652945,1,156
state,9684309394657652945,1,158
state,9684309394657652945,1,159
state,9684309394657652945,1,161
state,9684309394657652945,1,162
state,9684309394657652945,1,163
state,9684309394657652945,1,165
state,9684309394657652945,1,166
state,9684309394657652945,1,168
state,9684309394657652945,1,169
state,9684309394657652945,1,170
state,9684309394657652945,1,172
state,9684309394657652945,1,173
state,9684309394657652945,1,175
state,9684309394657652945,1,176
state,9684309394657652945,1,177
state,9684309394657652945,1,179
state,9684309394657652945,1,180
stale,9684309394657652945,1,180
state,7745843459245656472,1,1
state,7745843459245656472,1,2
state,7745843459245656472,1,3
state,7745843459245656472,1,5
state,7745843459245656472,1,6
state,7745843459245656472,1,7
state,7745843459245656472,1,9
state,7745843459245656472,1,10
state,7745843459245656472,1,12
state,7745843459245656472,1,13
state,7745843459245656472,1,14
state,7745843459245656472,1,16
state,7745843459245656472,1,17
state,7745843459245656472,1,19
state,7745843459245656472,1,20
state,7745843459245656472,1,21
state,7745843459245656472,1,23
state,7745843459245656472,1,24
state,7745843459245656472,1,26
state,7745843459245656472,1,27
state,7745843459245656472,1,28
state,7745843459245656472,1,30
state,7745843459245656472,1,31
state,7745843459245656472,1,33
state,7745843459245656472,1,34
state,7745843459245656472,1,35
state,7745843459245656472,1,37
state,7745843459245656472,1,38
state,7745843459245656472,1,40
state,7745843459245656472,1,41
state,7745843459245656472,1,42
state,7745843459245656472,1,44
state,7745843459245656472,1,45
state,7745843459245656472,1,46
state,7745843459245656472,1,48
state,7745843459245656472,1,49
state,7745843459245656472,1,51
state,7745843459245656472,1,52
state,7745843459245656472,1,54
state,7745843459245656472,1,55
state,7745843459245656472,1,56
state,7745843459245656472,1,58
state,7745843459245656472,1,59
state,7745843459245656472,1,60
state,7745843459245656472,1,62
